"List of Projects as per Smart City Proposal : Ludhiana","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"1.0","Rehabilitation and improvement or Construction of OHSR for 24X7 water supply","2.0","Water Management System","ABD","","Assured Water Supply"
"2.0","dismantling and Rehabilitation of water distribution system","0.9","Water Management System","ABD","","Assured Water Supply"
"3.0","Dismantling and Restoration of road pavement","9.6","Water Management System","ABD","","Transportation & Mobility"
"4.0","Implementation of PLC & SCADA for potable water system","11.5","Water Management System","ABD","","Assured Water Supply"
"5.0","Installation of Smart Meters","20.06","Water Management System","ABD","","Assured Water Supply"
"6.0","Replacement  and Rehabilitation of seweage distribution system","4.8","Water Management System","ABD","","Wastewater Management"
"7.0","Augumentation of existing Sewage Treatment Plant (STP) for recycling for 10MLD of this
area sewage with tertiary treatment","5.0","Water Management System","ABD","","Wastewater Management"
"8.0","Recycle water distribution network for reuse","4.5","Water Management System","ABD","","Wastewater Management"
"9.0","laying Underground power distribution network and eleminating over head network","58.05","Power Improvement","ABD","","Power Supply"
"10.0","Installation of Solar based LED street lighting","10.0","Power Improvement","ABD","","Power Supply"
"","Improvement Drainage System","","","","",""
"11.0","Construction of dedicated Storm water network","37.15","Improvement Drainage System","ABD","","Wastewater Management"
"12.0","Provision of large scale rain water harvesting pond / canal","2.5","Improvement Drainage System","ABD","","Assured Water Supply"
"13.0","Replacement of old Brick masonry drian along Ferozpur road and along Rose graden
road for 2km","12.0","Improvement Drainage System","ABD","","Wastewater Management"
"14.0","Collection Bins","0.26","Solid Waste Management","ABD","","Solid Waste Management"
"15.0","Augumenting Tippers Capacity 1 ton - 10 Nos, 8 Ton - 3 Nos","4.72","Solid Waste Management","ABD","","Solid Waste Management"
"16.0","Bio-Methenation Plant @ PAU 30 TPD, Segregation Plant","1.7","Solid Waste Management","ABD","","Solid Waste Management"
"17.0","ICT Cost","0.84","Solid Waste Management","ABD","","Solid Waste Management"
"18.0","Streetscape Improvement","7.0","Landscaping and Signages","ABD","","Public Open Space"
"19.0","Bio Swale on Ferozepur road","4.25","Landscaping and Signages","ABD","","Public Open Space"
"20.0","Digital Hoarding and information kiosks","20.0","Landscaping and Signages","ABD","","Governance"
"21.0","Public Toilets (10 nos. with 10 seats/Toilet with Solar roof top)","3.2","Landscaping and Signages","ABD","","Public Open Space"
"22.0","Rooftop Solar installation","252.52","Landscaping and Signages","ABD","","Power Supply"
"","ABD- Transport & Walkway","","Landscaping and Signages","ABD","","Transportation & Mobility"
"23.0","Footpath","8.69","Landscaping and Signages","ABD","","Transportation & Mobility"
"24.0","Dedicated Cycle Tracks shared with Footpath","6.15","Landscaping and Signages","ABD","","Transportation & Mobility"
"25.0","Elevated BRT along Ferozepur Road","190.0","Landscaping and Signages","ABD","","Transportation & Mobility"
"26.0","BRT Stops","125.0","Landscaping and Signages","ABD","","Transportation & Mobility"
"27.0","Temporary Bus Shelters","2.0","Landscaping and Signages","ABD","","Transportation & Mobility"
"28.0","Foot Over Bridges","2.6","Landscaping and Signages","ABD","","Transportation & Mobility"
"29.0","Public Bike Sharing","1.45","Landscaping and Signages","ABD","","Transportation & Mobility"
"30.0","Area Wise E Rickshaws (50 no)","0.58","Landscaping and Signages","ABD","","Transportation & Mobility"
"31.0","Signalisation at Intersections (Vehicle Activated ATCS Comaptible Traffic Signals)","3.5","Landscaping and Signages","ABD","","Transportation & Mobility"
"32.0","Smart On-Street Parking (300 Bays)","3.23","Landscaping and Signages","ABD","","Transportation & Mobility"
"33.0","Signage, Road Marking & Wayfinding","2.0","Landscaping and Signages","ABD","","Transportation & Mobility"
"34.0","Multilevel Car Park (300 Cars capacity) (Cost Rs 500000/ECS)","45.0","Landscaping and Signages","ABD","","Transportation & Mobility"
"35.0","RoB Pakhowal Rd.","40.0","Landscaping and Signages","ABD","","Transportation & Mobility"
"36.0","ABD- Miscellenous","1.0","Landscaping and Signages","ABD","","Public Open Space"
"37.0","E Rickshaw","57.5","N/A","Pan City","","Transportation & Mobility"
"38.0","GPS","15.0","N/A","Pan City","","Unknown"
"39.0","Charging Stations","0.23","N/A","Pan City","","Power Supply"
"40.0","Kiosk","0.3","N/A","Pan City","","Unknown"
"41.0","Control Center","7.0","N/A","Pan City","","Governance"
"42.0","Mapping and Ground Proofing","5.0","N/A","Pan City","","Unknown"
"43.0","GIS Application Centre and Remote Sensing Centre and Block Networks","28.0","N/A","Pan City","","Unknown"
"44.0","License and Staffing","12.0","N/A","Pan City","","Unknown"
"45.0","Central Command Centre & DR Site","32.5","N/A","Pan City","","Governance"
